title,author,year,publication,citation
Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,"Zhang Pengchuan , Dai Xiyang , Yang Jianwei , Xiao Bin , Yuan Lu , Zhang Lei , Gao Jianfeng",2021,ICCV2021,171
Viewing Graph Solvability via Cycle Consistency,"Arrigoni Federica , Fusiello Andrea , Ricci Elisa , Pajdla Tomas",2021,ICCV2021,6
Low Curvature Activations Reduce Overfitting in Adversarial Training,"Singla Vasu , Singla Sahil , Feizi Soheil , Jacobs David",2021,ICCV2021,20
SACoD: Sensor Algorithm Co-Design Towards Efficient CNN-Powered Intelligent PhlatCam,"Fu Yonggan , Zhang Yang , Wang Yue , Lu Zhihan , Boominathan Vivek , Veeraraghavan Ashok , Lin Yingyan",2021,ICCV2021,2
Adaptive Focus for Efficient Video Recognition,"Wang Yulin , Chen Zhaoxi , Jiang Haojun , Song Shiji , Han Yizeng , Huang Gao",2021,ICCV2021,43
Audio2Gestures: Generating Diverse Gestures From Speech Audio With Conditional Variational Autoencoders,"Li Jing , Kang Di , Pei Wenjie , Zhe Xuefei , Zhang Ying , He Zhenyu , Bao Linchao",2021,ICCV2021,27
SnowflakeNet: Point Cloud Completion by Snowflake Point Deconvolution With Skip-Transformer,"Xiang Peng , Wen Xin , Liu Yu-Shen , Cao Yan-Pei , Wan Pengfei , Zheng Wen , Han Zhizhong",2021,ICCV2021,75
LeViT: A Vision Transformer in ConvNet's Clothing for Faster Inference,"Graham Benjamin , El-Nouby Alaaeldin , Touvron Hugo , Stock Pierre , Joulin Arm, , J\'egou Herv\'e , Douze Matthijs",2021,ICCV2021,299
Active Universal Domain Adaptation,"Ma Xinhong , Gao Junyu , Xu Changsheng",2021,ICCV2021,11
FairNAS: Rethinking Evaluation Fairness of Weight Sharing Neural Architecture Search,"Chu Xiangxiang , Zhang Bo , Xu Ruijun",2021,ICCV2021,237
Keep CALM and Improve Visual Feature Attribution,"Kim Jae Myung , Choe Junsuk , Akata Zeynep , Oh Seong Joon",2021,ICCV2021,11
AdaMML: Adaptive Multi-Modal Learning for Efficient Video Recognition,"P,a Rameswar , Chen Chun-Fu (Richard) , Fan Quanfu , Sun Ximeng , Saenko Kate , Oliva Aude , Feris Rogerio",2021,ICCV2021,17
Rethinking 360deg Image Visual Attention Modelling With Unsupervised Learning.,"Djilali Yasser Abdelaziz Dahou , Krishna Tarun , McGuinness Kevin , O{\textquoteright}Connor Noel E.",2021,ICCV2021,4
An End-to-End Transformer Model for 3D Object Detection,"Misra Ishan , Girdhar Rohit , Joulin Arm,",2021,ICCV2021,0
Lipschitz Continuity Guided Knowledge Distillation,"Shang Yuzhang , Duan Bin , Zong Ziliang , Nie Liqiang , Yan Yan",2021,ICCV2021,13
